cpdid,seq.id,num_runs
CPDC140258,SEQ-140020,2
CPDC140258,SEQ-140024,2
CPDC140277,SEQ-140024,2
CPDC140277,SEQ-140027,2
CPDC140280,SEQ-140024,2
CPDC140280,SEQ-140027,2
CPDC140304,SEQ-140026,2
CPDC140304,SEQ-140028,2
CPDC140311,SEQ-140026,2
CPDC140311,SEQ-140028,2
CPDC140319,SEQ-140031,2
CPDC140319,SEQ-140032,2
CPDC140321,SEQ-140028,2
CPDC140321,SEQ-140029,2
CPDC140322,SEQ-140028,2
CPDC140322,SEQ-140029,2
CPDC140348,SEQ-140031,2
CPDC140348,SEQ-140032,2
CPDC140386,SEQ-140031,2
CPDC140386,SEQ-140032,2
CPDC140401,SEQ-140032,2
CPDC140401,SEQ-140034,2
CPDC140404,SEQ-140032,2
CPDC140404,SEQ-140034,2
CPDC140412,SEQ-140032,2
CPDC140412,SEQ-140034,2
CPDC140422,SEQ-140034,2
CPDC140422,SEQ-140040,2
CPDC140425,SEQ-140034,2
CPDC140425,SEQ-140040,2
CPDC140438,SEQ-140038,2
CPDC140438,SEQ-140040,2
CPDC140462,SEQ-140038,2
CPDC140462,SEQ-140040,2
CPDC140483,SEQ-140040,2
CPDC140483,SEQ-140042,2
CPDC140491,SEQ-140042,2
CPDC140491,SEQ-140044,2
CPDC140504,SEQ-140042,2
CPDC140504,SEQ-140044,2
CPDC140536,SEQ-140044,4
CPDC140536,SEQ-140045,4
CPDC140536,SEQ-140046,4
CPDC140536,SEQ-140050,4
CPDC140539,SEQ-140045,4
CPDC140539,SEQ-140046,4
CPDC140539,SEQ-140049,4
CPDC140539,SEQ-140050,4
CPDC140540,SEQ-140045,3
CPDC140540,SEQ-140046,3
CPDC140540,SEQ-140050,3
CPDC140541,SEQ-140045,3
CPDC140541,SEQ-140046,3
CPDC140541,SEQ-140050,3
CPDC140542,SEQ-140045,4
CPDC140542,SEQ-140046,4
CPDC140542,SEQ-140049,4
CPDC140542,SEQ-140050,4
CPDC140543,SEQ-140045,3
CPDC140543,SEQ-140046,3
CPDC140543,SEQ-140050,3
CPDC140544,SEQ-140045,3
CPDC140544,SEQ-140046,3
CPDC140544,SEQ-140050,3
CPDC140545,SEQ-140045,3
CPDC140545,SEQ-140046,3
CPDC140545,SEQ-140050,3
CPDC140546,SEQ-140045,3
CPDC140546,SEQ-140046,3
CPDC140546,SEQ-140050,3
CPDC140547,SEQ-140045,3
CPDC140547,SEQ-140046,3
CPDC140547,SEQ-140050,3
CPDC140548,SEQ-140045,3
CPDC140548,SEQ-140046,3
CPDC140548,SEQ-140050,3
CPDC140549,SEQ-140045,3
CPDC140549,SEQ-140046,3
CPDC140549,SEQ-140050,3
CPDC140550,SEQ-140045,3
CPDC140550,SEQ-140046,3
CPDC140550,SEQ-140050,3
CPDC140551,SEQ-140045,4
CPDC140551,SEQ-140046,4
CPDC140551,SEQ-140051,4
CPDC140551,SEQ-140050,4
CPDC140552,SEQ-140045,3
CPDC140552,SEQ-140046,3
CPDC140552,SEQ-140050,3
CPDC140553,SEQ-140045,4
CPDC140553,SEQ-140046,4
CPDC140553,SEQ-140051,4
CPDC140553,SEQ-140050,4
CPDC140554,SEQ-140045,3
CPDC140554,SEQ-140046,3
CPDC140554,SEQ-140050,3
CPDC140555,SEQ-140045,3
CPDC140555,SEQ-140046,3
CPDC140555,SEQ-140050,3
CPDC140556,SEQ-140045,3
CPDC140556,SEQ-140046,3
CPDC140556,SEQ-140050,3
CPDC140557,SEQ-140045,3
CPDC140557,SEQ-140046,3
CPDC140557,SEQ-140050,3
CPDC140558,SEQ-140045,3
CPDC140558,SEQ-140046,3
CPDC140558,SEQ-140050,3
CPDC140563,SEQ-140045,3
CPDC140563,SEQ-140046,3
CPDC140563,SEQ-140050,3
CPDC140564,SEQ-140049,2
CPDC140564,SEQ-140051,2
CPDC140618,SEQ-140051,2
CPDC140618,SEQ-140053,2
CPDC140625,SEQ-140051,2
CPDC140625,SEQ-140053,2
